refnis,km/j/pers,imat_communes_IMAT
62063,54,"77911"
53083,54,"2943"
45062,48,"1070"
44013,48,"9601"
36019,48,"6000"
25119,54,"9857"
24016,48,"4254"
23103,48,"6706"
23052,48,"8588"
21017,59,"9957"
11055,48,"12122"
82037,54,"3012"
82003,54,"8957"
81001,54,"15856"
11052,48,"7648"
11004,48,"6498"
62079,54,"13437"
61012,54,"2718"
31043,48,"18675"
73107,48,"21361"
63076,54,"6935"
63035,54,"10556"
63012,54,"3109"
56016,54,"5150"
42011,48,"9925"
37017,48,"5617"
23077,48,"16082"
23064,48,"2297"
71053,48,"21834"
21006,59,"14195"
13004,48,"9427"
63073,54,"3859"
11018,48,"5259"
11009,48,"16605"
91054,54,"2559"
85007,54,"2915"
56029,54,"2318"
55085,54,"6321"
46003,48,"25692"
41027,48,"9394"
37018,48,"8201"
33041,48,"1816"
23104,48,"4728"
23024,48,"4888"
13003,48,"12390"
11024,48,"12214"
92114,54,"4532"
58002,54,"17315"
53065,54,"8878"
73006,48,"17916"
24066,48,"8367"
72037,48,"8152"
85047,54,"1167"
52015,54,"15596"
52011,54,"88122"
51068,54,"4595"
51008,54,"7778"
42026,48,"6035"
41082,48,"10735"
38016,48,"5970"
31022,48,"12768"
31003,48,"8297"
92048,54,"6119"
57027,54,"5766"
34027,48,"16758"
73009,48,"6235"
25091,54,"11991"
25068,54,"4500"
24086,48,"5278"
21005,59,"13429"
92140,54,"10294"
63061,54,"6026"
63045,54,"2018"
53070,54,"12831"
53039,54,"3611"
52010,54,"7473"
51019,54,"1911"
42025,48,"12898"
37012,48,"3103"
25107,54,"5839"
24134,48,"12904"
12035,48,"10901"
83013,54,"1990"
82036,54,"3299"
62118,54,"11892"
58001,54,"37564"
57096,54,"28490"
44085,48,"13853"
25105,54,"13438"
64075,54,"1699"
64056,54,"2253"
64029,54,"2055"
11053,48,"11208"
93090,54,"3028"
91064,54,"2920"
84029,54,"890"
63023,54,"10795"
42003,48,"7934"
37020,48,"5090"
33039,48,"4482"
32011,48,"6812"
25122,54,"4595"
25043,54,"3073"
23081,48,"6931"
23025,48,"18362"
13036,48,"6032"
13014,48,"11691"
13012,48,"4933"
82032,54,"4184"
72041,48,"11979"
64015,54,"3537"
24059,48,"7566"
61063,54,"2680"
57018,54,"3133"
45035,48,"16896"
23047,48,"99550"
73001,48,"6731"
73032,48,"5795"
11035,48,"10393"
91120,54,"3471"
91072,54,"2803"
91015,54,"1832"
85034,54,"2015"
84050,54,"2982"
61028,54,"3001"
51014,54,"3735"
45065,48,"4396"
41063,48,"5573"
24014,48,"6671"
23002,48,"15978"
62051,54,"19245"
57062,54,"3212"
33016,48,"481"
23101,48,"10011"
21011,59,"5613"
63046,54,"2884"
61024,54,"2038"
52055,54,"9088"
51017,54,"3206"
46021,48,"36568"
45060,48,"3553"
41081,48,"13614"
35014,48,"5271"
32030,48,"1610"
23060,48,"6994"
23039,48,"4640"
13016,48,"6062"
63086,54,"1480"
62121,54,"6074"
64076,54,"2318"
91034,54,"6440"
91030,54,"8614"
91005,54,"3987"
61068,54,"3976"
55040,54,"13875"
52048,54,"5809"
52021,54,"12217"
51069,54,"9153"
51004,54,"15691"
44045,48,"3400"
44043,48,"13587"
42010,48,"6601"
37002,48,"4423"
25123,54,"5784"
63088,54,"5752"
58003,54,"4439"
57093,54,"4377"
56051,54,"2825"
44064,48,"5479"
44048,48,"7446"
43014,48,"3712"
34025,48,"2952"
31004,48,"8207"
64063,54,"3317"
23102,48,"8200"
13029,48,"6698"
72043,48,"18553"
11039,48,"12384"
11025,48,"4091"
11016,48,"10052"
62009,54,"7045"
53082,54,"9580"
45061,48,"3948"
42004,48,"7534"
36012,48,"5853"
32006,48,"5286"
31042,48,"1550"
11057,48,"8320"
73109,48,"2633"
24062,48,"84596"
45041,48,"12145"
36011,48,"4716"
21008,59,"7775"
71066,48,"11855"
11040,48,"17539"
62032,54,"7242"
61039,54,"3130"
51065,54,"6571"
37010,48,"4208"
37007,48,"6053"
35002,48,"8391"
25005,54,"3888"
24135,48,"6161"
24009,48,"4797"
21003,59,"7965"
13017,48,"10407"
12009,48,"8463"
11001,48,"51434"
92094,54,"54168"
63040,54,"5635"
61081,54,"1792"
61019,54,"2998"
57003,54,"3806"
43018,48,"6153"
25110,54,"17349"
11023,48,"14535"
11013,48,"10004"
11005,48,"7989"
93056,54,"5147"
91059,54,"3863"
62026,54,"2757"
56044,54,"3279"
44052,48,"7153"
43010,48,"13413"
34003,48,"5223"
33021,48,"10056"
23100,48,"2680"
23032,48,"3457"
23023,48,"4621"
12029,48,"9939"
83012,54,"6194"
53068,54,"3245"
46024,48,"10146"
24033,48,"7841"
24020,48,"12555"
23105,48,"6783"
63072,54,"4925"
11044,48,"9446"
92006,54,"4024"
91143,54,"1350"
85046,54,"4587"
84016,54,"727"
63020,54,"6261"
51009,54,"6477"
43002,48,"7616"
23097,48,"5881"
12026,48,"11905"
82005,54,"2093"
72018,48,"7003"
71070,48,"18466"
71037,48,"8554"
11050,48,"5906"
24055,48,"45013"
62119,54,"7929"
56078,54,"8701"
31040,48,"12535"
24028,48,"3406"
63080,54,"4064"
91013,54,"4971"
51067,54,"6600"
23050,48,"10495"
13019,48,"8693"
83028,54,"2888"
73098,48,"4235"
73066,48,"9164"
24054,48,"4386"
92097,54,"2970"
53020,54,"8098"
21007,59,"16998"
13046,48,"5774"
71034,48,"8453"
64025,54,"1979"
46014,48,"20319"
41018,48,"16629"
25031,54,"9029"
13021,48,"5394"
63004,54,"2598"
61003,54,"7573"
57095,54,"2054"
45059,48,"7712"
44073,48,"3830"
38008,48,"5403"
34023,48,"7094"
24041,48,"3437"
24038,48,"10227"
23098,48,"2697"
72039,48,"16620"
11029,48,"9936"
91141,54,"4993"
84033,54,"3042"
83044,54,"1384"
61080,54,"3393"
41024,48,"9827"
23096,48,"11302"
23045,48,"9682"
21010,59,"14408"
72004,48,"9436"
61010,54,"1858"
57081,54,"34483"
57072,54,"2795"
44083,48,"22955"
44040,48,"5772"
13037,48,"6239"
13006,48,"5222"
92003,54,"14044"
83055,54,"2123"
62027,54,"4395"
61043,54,"3574"
56022,54,"5167"
55035,54,"4816"
53053,54,"54615"
44021,48,"108162"
33040,48,"4243"
23027,48,"23125"
13001,48,"7450"
82009,54,"1375"
71020,48,"5230"
92087,54,"7700"
57097,54,"9247"
44012,48,"5355"
31033,48,"10676"
25084,54,"5101"
24045,48,"5001"
21019,59,"17874"
13023,48,"4468"
91114,54,"6724"
85039,54,"2523"
85011,54,"3012"
84035,54,"2897"
84010,54,"2780"
63049,54,"6981"
62060,54,"5389"
62022,54,"11923"
56005,54,"4015"
44020,48,"6957"
44019,48,"18618"
35011,48,"9896"
31005,48,"57193"
24008,48,"3645"
21014,59,"31232"
21004,59,"141073"
21001,59,"34215"
13010,48,"6424"
12025,48,"34488"
12021,48,"17402"
11054,48,"7587"
71022,48,"43450"
56049,54,"2242"
64023,54,"1814"
84075,54,"1695"
83049,54,"1612"
83040,54,"2985"
61072,54,"7638"
61041,54,"2770"
55004,54,"11100"
53044,54,"5787"
44034,48,"11947"
36007,48,"6204"
25117,54,"3898"
25014,54,"20614"
24137,48,"3026"
23016,48,"20780"
13008,48,"22292"
73083,48,"22211"
72030,48,"9022"
71004,48,"25267"
63001,54,"3229"
62122,54,"4472"
57064,54,"9448"
52075,54,"5283"
43007,48,"3455"
21002,59,"12418"
73042,48,"15005"
64047,54,"1719"
64021,54,"2090"
93088,54,"10382"
92141,54,"5033"
92138,54,"4692"
91142,54,"3248"
84009,54,"4551"
63067,54,"5824"
45068,48,"10027"
45063,48,"3547"
42006,48,"22451"
36015,48,"35349"
25120,54,"4901"
25112,54,"19404"
25018,54,"6829"
23044,48,"6190"
13049,48,"13956"
13040,48,"21108"
12041,48,"13754"
71057,48,"11150"
11008,48,"19913"
63003,54,"2464"
44084,48,"15638"
34043,48,"1177"
25050,54,"4125"
23094,48,"138607"
71002,48,"4583"
11021,48,"3876"
93022,54,"5927"
92142,54,"13777"
91103,54,"1819"
85024,54,"1603"
84059,54,"2902"
63038,54,"5033"
63013,54,"3120"
52025,54,"7463"
41002,48,"42318"
37015,48,"10776"
35029,48,"6713"
35006,48,"7693"
34042,48,"13297"
33011,48,"18539"
25023,54,"5418"
24107,48,"16463"
24001,48,"16247"
13044,48,"4070"
12007,48,"13696"
72038,48,"7035"
71069,48,"6070"
92045,54,"4429"
57094,54,"7395"
24104,48,"10279"
21018,59,"23247"
11037,48,"7700"
85045,54,"6003"
42008,48,"12072"
38025,48,"6722"
38002,48,"2596"
37011,48,"3787"
33037,48,"6903"
31012,48,"8087"
23038,48,"6738"
72021,48,"14122"
63087,54,"2303"
62099,54,"9705"
56088,54,"2712"
52074,54,"5729"
46025,48,"15478"
44081,48,"8365"
24094,48,"8935"
73040,48,"4729"
11030,48,"5579"
92101,54,"6939"
84077,54,"6321"
84068,54,"1436"
63057,54,"2502"
62038,54,"8529"
55086,54,"11555"
55050,54,"5834"
53046,54,"2466"
45064,48,"3275"
41034,48,"9434"
35005,48,"6250"
33029,48,"9354"
24130,48,"4665"
12005,48,"7723"
71045,48,"4023"
71011,48,"10730"
11002,48,"219900"
43005,48,"10454"
34041,48,"16801"
24043,48,"5002"
21016,59,"38345"
13035,48,"8468"
71067,48,"4316"
64065,54,"3986"
63084,54,"5492"
11022,48,"10385"
93014,54,"7393"
62015,54,"5773"
52012,54,"16324"
41011,48,"8881"
38014,48,"12368"
34022,48,"44210"
31006,48,"6365"
25048,54,"7582"
25044,54,"3836"
25037,54,"7677"
24011,48,"4896"
23086,48,"8077"
23062,48,"14292"
12014,48,"23658"
12002,48,"6087"
82038,54,"1401"
81015,54,"4581"
64074,54,"7717"
51012,54,"1911"
46020,48,"10150"
21015,59,"37222"
21013,59,"13173"
24048,48,"7582"
23099,48,"6610"
71016,48,"36486"
63079,54,"23981"
93018,54,"1674"
93010,54,"2773"
92137,54,"13958"
85009,54,"3505"
84043,54,"4342"
36010,48,"5219"
36006,48,"5663"
24133,48,"3930"
23009,48,"1173"
23003,48,"13024"
13011,48,"15778"
12040,48,"12614"
82014,54,"2838"
81013,54,"1060"
81003,54,"3013"
63089,54,"3680"
63048,54,"3528"
73028,48,"41"
25121,54,"14356"
21009,59,"35919"
72020,48,"19455"
63075,54,"1871"
11007,48,"4683"
63058,54,"4812"
53084,54,"4733"
53028,54,"10493"
32010,48,"4762"
32003,48,"9022"
81004,54,"8882"
64034,54,"9272"
58004,54,"9492"
52018,54,"4914"
35013,48,"28544"
25118,54,"2004"
25015,54,"6052"
23088,48,"18746"
21012,59,"23797"
64008,54,"1801"
62108,54,"9342"
62011,54,"4876"
61079,54,"2501"
61048,54,"1579"
24007,48,"5852"
13025,48,"19621"
13002,48,"1626"
72042,48,"13666"
71024,48,"7117"
92054,54,"4052"
92035,54,"8945"
62100,54,"9016"
56086,54,"8153"
52022,54,"9094"
34040,48,"23314"
34009,48,"7163"
73022,48,"4111"
25072,54,"15211"
13031,48,"7723"
85026,54,"2553"
83034,54,"9554"
61031,54,"10488"
42028,48,"9783"
42023,48,"6119"
41048,48,"19052"
34013,48,"15527"
34002,48,"8314"
25124,54,"3949"
24109,48,"8281"
13053,48,"9220"
13013,48,"7984"
83031,54,"2169"
72003,48,"7538"
71017,48,"4630"
62120,54,"13554"
62096,54,"28717"
62093,54,"10505"
62006,54,"5425"
62003,54,"14085"
56001,54,"6418"
53014,54,"9275"
46013,48,"8174"
36008,48,"15570"
23033,48,"5502"
11056,48,"10217"
11038,48,"4234"
