REFNIS,IMAT,commune_res â€” communes_int_moy
"21001","34215",5
"21002","12418",5
"21003","7965",5
"21004","141073",5
"21005","13429",5
"21006","14195",5
"21007","16998",5
"21008","7775",5
"21009","35919",5
"21010","14408",5
"21011","5613",5
"21012","23797",5
"21013","13173",5
"21014","31232",5
"21015","37222",5
"21016","38345",5
"21017","9957",5
"21018","23247",5
"21019","17874",5
"11001","51434",5
"11002","219900",5
"11004","6498",4
"11005","7989",4
"11007","4683",3
"11008","19913",4
"11009","16605",3
"11013","10004",4
"11016","10052",3
"11018","5259",4
"11021","3876",4
"11022","10385",3
"11023","14535",3
"11024","12214",4
"11025","4091",4
"11029","9936",5
"11030","5579",4
"11035","10393",2
"11037","7700",3
"11038","4234",4
"11039","12384",3
"11040","17539",4
"11044","9446",4
"11050","5906",4
"11052","7648",4
"11053","11208",2
"11054","7587",2
"11055","12122",2
"11056","10217",4
"11057","8320",2
"12002","6087",3
"12005","7723",3
"12007","13696",3
"12009","8463",4
"12014","23658",3
"12021","17402",3
"12025","34488",4
"12026","11905",3
"12029","9939",3
"12035","10901",3
"12040","12614",4
"12041","13754",4
"13001","7450",1
"13002","1626",2
"13003","12390",3
"13004","9427",2
"13006","5222",3
"13008","22292",5
"13010","6424",3
"13011","15778",4
"13012","4933",3
"13013","7984",2
"13014","11691",1
"13016","6062",4
"13017","10407",3
"13019","8693",3
"13021","5394",2
"13023","4468",2
"13025","19621",3
"13029","6698",3
"13031","7723",2
"13035","8468",1
"13036","6032",1
"13037","6239",2
"13040","21108",5
"13044","4070",1
"13046","5774",3
"13049","13956",3
"13053","9220",3
"71002","4583",2
"71004","25267",3
"71011","10730",3
"71016","36486",5
"71017","4630",2
"71020","5230",3
"71022","43450",5
"71024","7117",3
"71034","8453",4
"71037","8554",3
"71045","4023",3
"71053","21834",4
"71057","11150",4
"71066","11855",2
"71067","4316",1
"71069","6070",3
"71070","18466",3
"72003","7538",2
"72004","9436",2
"72018","7003",2
"72020","19455",4
"72021","14122",3
"72030","9022",2
"72037","8152",3
"72038","7035",1
"72039","16620",2
"72041","11979",2
"72042","13666",2
"72043","18553",4
"73001","6731",4
"73006","17916",4
"73009","6235",2
"73022","4111",1
"73028","41",2
"73032","5795",3
"73040","4729",2
"73042","15005",3
"73066","9164",2
"73083","22211",5
"73098","4235",3
"73107","21361",2
"73109","2633",2
"41002","42318",4
"41011","8881",4
"41018","16629",3
"41024","9827",3
"41027","9394",3
"41034","9434",3
"41048","19052",3
"41063","5573",3
"41081","13614",4
"41082","10735",4
"42003","7934",3
"42004","7534",3
"42006","22451",5
"42008","12072",3
"42010","6601",4
"42011","9925",4
"42023","6119",3
"42025","12898",4
"42026","6035",4
"42028","9783",4
"43002","7616",2
"43005","10454",4
"43007","3455",2
"43010","13413",4
"43014","3712",2
"43018","6153",3
"44012","5355",4
"44013","9601",3
"44019","18618",4
"44020","6957",4
"44021","108162",5
"44034","11947",4
"44040","5772",5
"44043","13587",4
"44045","3400",1
"44048","7446",4
"44052","7153",2
"44064","5479",3
"44073","3830",1
"44081","8365",2
"44083","22955",4
"44084","15638",4
"44085","13853",3
"45035","16896",4
"45041","12145",3
"45059","7712",2
"45060","3553",1
"45061","3948",2
"45062","1070",2
"45063","3547",2
"45064","3275",1
"45065","4396",2
"45068","10027",3
"46003","25692",4
"46013","8174",2
"46014","20319",4
"46020","10150",2
"46021","36568",4
"46024","10146",2
"46025","15478",4
"23002","15978",3
"23003","13024",3
"23009","1173",1
"23016","20780",5
"23023","4621",2
"23024","4888",2
"23025","18362",3
"23027","23125",4
"23032","3457",2
"23033","5502",2
"23038","6738",3
"23039","4640",4
"23044","6190",3
"23045","9682",4
"23047","99550",5
"23050","10495",3
"23052","8588",3
"23060","6994",4
"23062","14292",3
"23064","2297",1
"23077","16082",4
"23081","6931",3
"23086","8077",4
"23088","18746",4
"23094","138607",5
"23096","11302",3
"23097","5881",2
"23098","2697",5
"23099","6610",5
"23100","2680",3
"23101","10011",3
"23102","8200",4
"23103","6706",4
"23104","4728",3
"23105","6783",3
"24001","16247",4
"24007","5852",3
"24008","3645",3
"24009","4797",3
"24011","4896",2
"24014","6671",4
"24016","4254",3
"24020","12555",4
"24028","3406",3
"24033","7841",4
"24038","10227",3
"24041","3437",1
"24043","5002",2
"24045","5001",2
"24048","7582",2
"24054","4386",2
"24055","45013",5
"24059","7566",4
"24062","84596",5
"24066","8367",3
"24086","5278",1
"24094","8935",3
"24104","10279",3
"24107","16463",4
"24109","8281",3
"24130","4665",2
"24133","3930",2
"24134","12904",4
"24135","6161",3
"24137","3026",3
"31003","8297",3
"31004","8207",5
"31005","57193",5
"31006","6365",1
"31012","8087",1
"31022","12768",3
"31033","10676",4
"31040","12535",4
"31042","1550",2
"31043","18675",4
"32003","9022",2
"32006","5286",2
"32010","4762",2
"32011","6812",3
"32030","1610",2
"33011","18539",3
"33016","481",1
"33021","10056",3
"33029","9354",3
"33037","6903",2
"33039","4482",2
"33040","4243",1
"33041","1816",1
"34002","8314",2
"34003","5223",2
"34009","7163",4
"34013","15527",4
"34022","44210",5
"34023","7094",3
"34025","2952",3
"34027","16758",5
"34040","23314",4
"34041","16801",4
"34042","13297",2
"34043","1177",2
"35002","8391",5
"35005","6250",1
"35006","7693",2
"35011","9896",2
"35013","28544",5
"35014","5271",2
"35029","6713",3
"36006","5663",3
"36007","6204",4
"36008","15570",5
"36010","5219",2
"36011","4716",3
"36012","5853",3
"36015","35349",5
"36019","6000",2
"37002","4423",2
"37007","6053",3
"37010","4208",2
"37011","3787",3
"37012","3103",3
"37015","10776",4
"37017","5617",3
"37018","8201",2
"37020","5090",3
"38002","2596",1
"38008","5403",4
"38014","12368",4
"38016","5970",3
"38025","6722",2
"51004","15691",4
"51008","7778",3
"51009","6477",3
"51012","1911",2
"51014","3735",2
"51017","3206",2
"51019","1911",1
"51065","6571",2
"51067","6600",2
"51068","4595",2
"51069","9153",3
"52010","7473",3
"52011","88122",5
"52012","16324",5
"52015","15596",4
"52018","4914",3
"52021","12217",4
"52022","9094",3
"52025","7463",2
"52048","5809",3
"52055","9088",3
"52074","5729",3
"52075","5283",3
"53014","9275",4
"53020","8098",3
"53028","10493",4
"53039","3611",2
"53044","5787",3
"53046","2466",2
"53053","54615",5
"53065","8878",4
"53068","3245",2
"53070","12831",3
"53082","9580",3
"53083","2943",1
"53084","4733",2
"55004","11100",3
"55035","4816",2
"55040","13875",3
"55050","5834",3
"55085","6321",2
"55086","11555",4
"56001","6418",4
"56005","4015",1
"56016","5150",1
"56022","5167",3
"56029","2318",1
"56044","3279",3
"56049","2242",2
"56051","2825",1
"56078","8701",3
"56086","8153",3
"56088","2712",1
"57003","3806",2
"57018","3133",2
"57027","5766",3
"57062","3212",2
"57064","9448",3
"57072","2795",2
"57081","34483",5
"57093","4377",2
"57094","7395",3
"57095","2054",2
"57096","28490",5
"57097","9247",2
"58001","37564",5
"58002","17315",4
"58003","4439",2
"58004","9492",3
"61003","7573",3
"61010","1858",2
"61012","2718",1
"61019","2998",1
"61024","2038",1
"61028","3001",1
"61031","10488",3
"61039","3130",1
"61041","2770",1
"61043","3574",2
"61048","1579",1
"61063","2680",2
"61068","3976",3
"61072","7638",3
"61079","2501",1
"61080","3393",3
"61081","1792",2
"62003","14085",4
"62006","5425",3
"62009","7045",2
"62011","4876",2
"62015","5773",3
"62022","11923",4
"62026","2757",2
"62027","4395",3
"62032","7242",4
"62038","8529",4
"62051","19245",5
"62060","5389",3
"62063","77911",5
"62079","13437",4
"62093","10505",4
"62096","28717",4
"62099","9705",3
"62100","9016",3
"62108","9342",4
"62118","11892",3
"62119","7929",3
"62120","13554",4
"62121","6074",3
"62122","4472",1
"63001","3229",1
"63003","2464",3
"63004","2598",1
"63012","3109",1
"63013","3120",1
"63020","6261",3
"63023","10795",3
"63035","10556",3
"63038","5033",1
"63040","5635",2
"63045","2018",2
"63046","2884",2
"63048","3528",3
"63049","6981",1
"63057","2502",1
"63058","4812",4
"63061","6026",3
"63067","5824",2
"63072","4925",3
"63073","3859",1
"63075","1871",1
"63076","6935",2
"63079","23981",5
"63080","4064",2
"63084","5492",3
"63086","1480",2
"63087","2303",1
"63088","5752",3
"63089","3680",3
"64008","1801",2
"64015","3537",1
"64021","2090",2
"64023","1814",2
"64025","1979",1
"64029","2055",2
"64034","9272",3
"64047","1719",2
"64056","2253",2
"64063","3317",3
"64065","3986",3
"64074","7717",3
"64075","1699",1
"64076","2318",1
"81001","15856",3
"81003","3013",1
"81004","8882",3
"81013","1060",1
"81015","4581",2
"82003","8957",1
"82005","2093",1
"82009","1375",1
"82014","2838",1
"82032","4184",2
"82036","3299",2
"82037","3012",2
"82038","1401",1
"83012","6194",2
"83013","1990",2
"83028","2888",2
"83031","2169",1
"83034","9554",2
"83040","2985",1
"83044","1384",1
"83049","1612",1
"83055","2123",2
"84009","4551",3
"84010","2780",1
"84016","727",1
"84029","890",1
"84033","3042",1
"84035","2897",1
"84043","4342",2
"84050","2982",1
"84059","2902",1
"84068","1436",1
"84075","1695",1
"84077","6321",3
"85007","2915",1
"85009","3505",2
"85011","3012",1
"85024","1603",1
"85026","2553",1
"85034","2015",1
"85039","2523",2
"85045","6003",2
"85046","4587",2
"85047","1167",1
"91005","3987",2
"91013","4971",1
"91015","1832",1
"91030","8614",2
"91034","6440",2
"91054","2559",1
"91059","3863",1
"91064","2920",1
"91072","2803",2
"91103","1819",1
"91114","6724",3
"91120","3471",1
"91141","4993",2
"91142","3248",1
"91143","1350",1
"92003","14044",3
"92006","4024",1
"92035","8945",1
"92045","4429",1
"92048","6119",2
"92054","4052",1
"92087","7700",1
"92094","54168",4
"92097","2970",1
"92101","6939",2
"92114","4532",2
"92137","13958",4
"92138","4692",1
"92140","10294",4
"92141","5033",2
"92142","13777",4
"93010","2773",1
"93014","7393",2
"93018","1674",1
"93022","5927",1
"93056","5147",2
"93088","10382",3
"93090","3028",1
"25005","3888",2
"25014","20614",4
"25015","6052",4
"25018","6829",3
"25023","5418",3
"25031","9029",3
"25037","7677",2
"25043","3073",1
"25044","3836",3
"25048","7582",2
"25050","4125",3
"25068","4500",3
"25072","15211",5
"25084","5101",1
"25091","11991",4
"25105","13438",4
"25107","5839",3
"25110","17349",5
"25112","19404",4
"25117","3898",2
"25118","2004",2
"25119","9857",3
"25120","4901",2
"25121","14356",4
"25122","4595",1
"25123","5784",3
"25124","3949",2
