REFNIS;IMAT;REGION
21001;34215;1
21002;12418;1
21003;7965;1
21004;141073;1
21005;13429;1
21006;14195;1
21007;16998;1
21008;7775;1
21009;35919;1
21010;14408;1
21011;5613;1
21012;23797;1
21013;13173;1
21014;31232;1
21015;37222;1
21016;38345;1
21017;9957;1
21018;23247;1
21019;17874;1
11001;51434;2
11002;219900;2
11004;6498;2
11005;7989;2
11007;4683;2
11008;19913;2
11009;16605;2
11013;10004;2
11016;10052;2
11018;5259;2
11021;3876;2
11022;10385;2
11023;14535;2
11024;12214;2
11025;4091;2
11029;9936;2
11030;5579;2
11035;10393;2
11037;7700;2
11038;4234;2
11039;12384;2
11040;17539;2
11044;9446;2
11050;5906;2
11052;7648;2
11053;11208;2
11054;7587;2
11055;12122;2
11056;10217;2
11057;8320;2
12002;6087;2
12005;7723;2
12007;13696;2
12009;8463;2
12014;23658;2
12021;17402;2
12025;34488;2
12026;11905;2
12029;9939;2
12035;10901;2
12040;12614;2
12041;13754;2
13001;7450;2
13002;1626;2
13003;12390;2
13004;9427;2
13006;5222;2
13008;22292;2
13010;6424;2
13011;15778;2
13012;4933;2
13013;7984;2
13014;11691;2
13016;6062;2
13017;10407;2
13019;8693;2
13021;5394;2
13023;4468;2
13025;19621;2
13029;6698;2
13031;7723;2
13035;8468;2
13036;6032;2
13037;6239;2
13040;21108;2
13044;4070;2
13046;5774;2
13049;13956;2
13053;9220;2
71002;4583;2
71004;25267;2
71011;10730;2
71016;36486;2
71017;4630;2
71020;5230;2
71022;43450;2
71024;7117;2
71034;8453;2
71037;8554;2
71045;4023;2
71053;21834;2
71057;11150;2
71066;11855;2
71067;4316;2
71069;6070;2
71070;18466;2
72003;7538;2
72004;9436;2
72018;7003;2
72020;19455;2
72021;14122;2
72030;9022;2
72037;8152;2
72038;7035;2
72039;16620;2
72041;11979;2
72042;13666;2
72043;18553;2
73001;6731;2
73006;17916;2
73009;6235;2
73022;4111;2
73028;41;2
73032;5795;2
73040;4729;2
73042;15005;2
73066;9164;2
73083;22211;2
73098;4235;2
73107;21361;2
73109;2633;2
41002;42318;2
41011;8881;2
41018;16629;2
41024;9827;2
41027;9394;2
41034;9434;2
41048;19052;2
41063;5573;2
41081;13614;2
41082;10735;2
42003;7934;2
42004;7534;2
42006;22451;2
42008;12072;2
42010;6601;2
42011;9925;2
42023;6119;2
42025;12898;2
42026;6035;2
42028;9783;2
43002;7616;2
43005;10454;2
43007;3455;2
43010;13413;2
43014;3712;2
43018;6153;2
44012;5355;2
44013;9601;2
44019;18618;2
44020;6957;2
44021;108162;2
44034;11947;2
44040;5772;2
44043;13587;2
44045;3400;2
44048;7446;2
44052;7153;2
44064;5479;2
44073;3830;2
44081;8365;2
44083;22955;2
44084;15638;2
44085;13853;2
45035;16896;2
45041;12145;2
45059;7712;2
45060;3553;2
45061;3948;2
45062;1070;2
45063;3547;2
45064;3275;2
45065;4396;2
45068;10027;2
46003;25692;2
46013;8174;2
46014;20319;2
46020;10150;2
46021;36568;2
46024;10146;2
46025;15478;2
23002;15978;2
23003;13024;2
23009;1173;2
23016;20780;2
23023;4621;2
23024;4888;2
23025;18362;2
23027;23125;2
23032;3457;2
23033;5502;2
23038;6738;2
23039;4640;2
23044;6190;2
23045;9682;2
23047;99550;2
23050;10495;2
23052;8588;2
23060;6994;2
23062;14292;2
23064;2297;2
23077;16082;2
23081;6931;2
23086;8077;2
23088;18746;2
23094;138607;2
23096;11302;2
23097;5881;2
23098;2697;2
23099;6610;2
23100;2680;2
23101;10011;2
23102;8200;2
23103;6706;2
23104;4728;2
23105;6783;2
24001;16247;2
24007;5852;2
24008;3645;2
24009;4797;2
24011;4896;2
24014;6671;2
24016;4254;2
24020;12555;2
24028;3406;2
24033;7841;2
24038;10227;2
24041;3437;2
24043;5002;2
24045;5001;2
24048;7582;2
24054;4386;2
24055;45013;2
24059;7566;2
24062;84596;2
24066;8367;2
24086;5278;2
24094;8935;2
24104;10279;2
24107;16463;2
24109;8281;2
24130;4665;2
24133;3930;2
24134;12904;2
24135;6161;2
24137;3026;2
31003;8297;2
31004;8207;2
31005;57193;2
31006;6365;2
31012;8087;2
31022;12768;2
31033;10676;2
31040;12535;2
31042;1550;2
31043;18675;2
32003;9022;2
32006;5286;2
32010;4762;2
32011;6812;2
32030;1610;2
33011;18539;2
33016;481;2
33021;10056;2
33029;9354;2
33037;6903;2
33039;4482;2
33040;4243;2
33041;1816;2
34002;8314;2
34003;5223;2
34009;7163;2
34013;15527;2
34022;44210;2
34023;7094;2
34025;2952;2
34027;16758;2
34040;23314;2
34041;16801;2
34042;13297;2
34043;1177;2
35002;8391;2
35005;6250;2
35006;7693;2
35011;9896;2
35013;28544;2
35014;5271;2
35029;6713;2
36006;5663;2
36007;6204;2
36008;15570;2
36010;5219;2
36011;4716;2
36012;5853;2
36015;35349;2
36019;6000;2
37002;4423;2
37007;6053;2
37010;4208;2
37011;3787;2
37012;3103;2
37015;10776;2
37017;5617;2
37018;8201;2
37020;5090;2
38002;2596;2
38008;5403;2
38014;12368;2
38016;5970;2
38025;6722;2
51004;15691;3
51008;7778;3
51009;6477;3
51012;1911;3
51014;3735;3
51017;3206;3
51019;1911;3
51065;6571;3
51067;6600;3
51068;4595;3
51069;9153;3
52010;7473;3
52011;88122;3
52012;16324;3
52015;15596;3
52018;4914;3
52021;12217;3
52022;9094;3
52025;7463;3
52048;5809;3
52055;9088;3
52074;5729;3
52075;5283;3
53014;9275;3
53020;8098;3
53028;10493;3
53039;3611;3
53044;5787;3
53046;2466;3
53053;54615;3
53065;8878;3
53068;3245;3
53070;12831;3
53082;9580;3
53083;2943;3
53084;4733;3
55004;11100;3
55035;4816;3
55040;13875;3
55050;5834;3
55085;6321;3
55086;11555;3
56001;6418;3
56005;4015;3
56016;5150;3
56022;5167;3
56029;2318;3
56044;3279;3
56049;2242;3
56051;2825;3
56078;8701;3
56086;8153;3
56088;2712;3
57003;3806;3
57018;3133;3
57027;5766;3
57062;3212;3
57064;9448;3
57072;2795;3
57081;34483;3
57093;4377;3
57094;7395;3
57095;2054;3
57096;28490;3
57097;9247;3
58001;37564;3
58002;17315;3
58003;4439;3
58004;9492;3
61003;7573;3
61010;1858;3
61012;2718;3
61019;2998;3
61024;2038;3
61028;3001;3
61031;10488;3
61039;3130;3
61041;2770;3
61043;3574;3
61048;1579;3
61063;2680;3
61068;3976;3
61072;7638;3
61079;2501;3
61080;3393;3
61081;1792;3
62003;14085;3
62006;5425;3
62009;7045;3
62011;4876;3
62015;5773;3
62022;11923;3
62026;2757;3
62027;4395;3
62032;7242;3
62038;8529;3
62051;19245;3
62060;5389;3
62063;77911;3
62079;13437;3
62093;10505;3
62096;28717;3
62099;9705;3
62100;9016;3
62108;9342;3
62118;11892;3
62119;7929;3
62120;13554;3
62121;6074;3
62122;4472;3
63001;3229;3
63003;2464;3
63004;2598;3
63012;3109;3
63013;3120;3
63020;6261;3
63023;10795;3
63035;10556;3
63038;5033;3
63040;5635;3
63045;2018;3
63046;2884;3
63048;3528;3
63049;6981;3
63057;2502;3
63058;4812;3
63061;6026;3
63067;5824;3
63072;4925;3
63073;3859;3
63075;1871;3
63076;6935;3
63079;23981;3
63080;4064;3
63084;5492;3
63086;1480;3
63087;2303;3
63088;5752;3
63089;3680;3
64008;1801;3
64015;3537;3
64021;2090;3
64023;1814;3
64025;1979;3
64029;2055;3
64034;9272;3
64047;1719;3
64056;2253;3
64063;3317;3
64065;3986;3
64074;7717;3
64075;1699;3
64076;2318;3
81001;15856;3
81003;3013;3
81004;8882;3
81013;1060;3
81015;4581;3
82003;8957;3
82005;2093;3
82009;1375;3
82014;2838;3
82032;4184;3
82036;3299;3
82037;3012;3
82038;1401;3
83012;6194;3
83013;1990;3
83028;2888;3
83031;2169;3
83034;9554;3
83040;2985;3
83044;1384;3
83049;1612;3
83055;2123;3
84009;4551;3
84010;2780;3
84016;727;3
84029;890;3
84033;3042;3
84035;2897;3
84043;4342;3
84050;2982;3
84059;2902;3
84068;1436;3
84075;1695;3
84077;6321;3
85007;2915;3
85009;3505;3
85011;3012;3
85024;1603;3
85026;2553;3
85034;2015;3
85039;2523;3
85045;6003;3
85046;4587;3
85047;1167;3
91005;3987;3
91013;4971;3
91015;1832;3
91030;8614;3
91034;6440;3
91054;2559;3
91059;3863;3
91064;2920;3
91072;2803;3
91103;1819;3
91114;6724;3
91120;3471;3
91141;4993;3
91142;3248;3
91143;1350;3
92003;14044;3
92006;4024;3
92035;8945;3
92045;4429;3
92048;6119;3
92054;4052;3
92087;7700;3
92094;54168;3
92097;2970;3
92101;6939;3
92114;4532;3
92137;13958;3
92138;4692;3
92140;10294;3
92141;5033;3
92142;13777;3
93010;2773;3
93014;7393;3
93018;1674;3
93022;5927;3
93056;5147;3
93088;10382;3
93090;3028;3
25005;3888;3
25014;20614;3
25015;6052;3
25018;6829;3
25023;5418;3
25031;9029;3
25037;7677;3
25043;3073;3
25044;3836;3
25048;7582;3
25050;4125;3
25068;4500;3
25072;15211;3
25084;5101;3
25091;11991;3
25105;13438;3
25107;5839;3
25110;17349;3
25112;19404;3
25117;3898;3
25118;2004;3
25119;9857;3
25120;4901;3
25121;14356;3
25122;4595;3
25123;5784;3
25124;3949;3
